expert,regime,feature,mean_abs_shap
lstm,bull,Log return,2.2404159371524208e-07
lstm,bull,Volatility 10d,8.515402670575057e-07
lstm,bull,Volatility 30d,1.9809757667025913e-07
lstm,bull,RSI-14,8.388428833782541e-07
lstm,bull,MACD,2.5064226365233885e-07
lstm,bull,MACD signal,5.891780389062375e-07
lstm,bull,Volume ratio,2.6626685562481734e-07
lstm,bull,BB width,5.149051988237741e-07
lstm,bull,Regime: bull,7.624295055371171e-06
lstm,bull,Regime: bear,1.2705777867427614e-07
lstm,bull,Regime: high-vol,1.7877421827768186e-05
lstm,bear,Log return,0.0
lstm,bear,Volatility 10d,0.0
lstm,bear,Volatility 30d,0.0
lstm,bear,RSI-14,0.0
lstm,bear,MACD,0.0
lstm,bear,MACD signal,0.0
lstm,bear,Volume ratio,0.0
lstm,bear,BB width,0.0
lstm,bear,Regime: bull,0.0
lstm,bear,Regime: bear,0.0
lstm,bear,Regime: high-vol,0.0
lstm,high-vol,Log return,6.558225390348134e-08
lstm,high-vol,Volatility 10d,3.3845878792551915e-07
lstm,high-vol,Volatility 30d,1.207212984698919e-07
lstm,high-vol,RSI-14,3.287828931537417e-07
lstm,high-vol,MACD,6.365757241776224e-08
lstm,high-vol,MACD signal,1.3165321571514262e-07
lstm,high-vol,Volume ratio,9.013705192537326e-08
lstm,high-vol,BB width,1.3639191736034988e-07
lstm,high-vol,Regime: bull,5.606425364650016e-06
lstm,high-vol,Regime: bear,7.624198324285596e-09
lstm,high-vol,Regime: high-vol,1.2869082945983925e-05
transformer,bull,Log return,8.590533371057665e-05
transformer,bull,Volatility 10d,8.592940012811473e-05
transformer,bull,Volatility 30d,4.29018098698396e-05
transformer,bull,RSI-14,0.0001307545711513803
transformer,bull,MACD,2.3875891425013643e-05
transformer,bull,MACD signal,2.77795645682887e-05
transformer,bull,Volume ratio,5.401732323351158e-05
transformer,bull,BB width,8.834503864084632e-05
transformer,bull,Regime: bull,7.20187139059814e-05
transformer,bull,Regime: bear,7.539358984648778e-07
transformer,bull,Regime: high-vol,7.80135569504545e-05
